id,name,description,type,is_collection,property_count,method_count,hierarchy,role
interface_867,ShapeInstance,The interface to access a CATIAShapeInstance.,Object,false,3,10,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \HybridShape\, \ShapeInstance\",Unknown
interface_868,Shapes,The collection of the shapes making up a body.,Collection,true,0,2,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \Shapes\",Unknown
interface_869,Shell,Represents the shell shape.,Collection,true,3,5,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \DressUpShape\, \Shell\",Unknown
interface_870,ShiftedProfileTolerance,Interface for accessing shifted tolerance zone informations of a TPS.,Object,false,1,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ShiftedProfileTolerance\",Unknown
interface_871,Shot,The interface to access a CATIAShot.,Object,false,0,10,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shot\","A CATIAShot (or shot) is the base element that Sampled objects are composed of. For example, when considering a Track , each recorded position is a shot."
interface_872,Shots,The collection of all shot objects contained in the current sampled.,Collection,true,0,6,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \Shots\",Unknown
interface_873,Shuttle,The interface to access a CATIAShuttle.,Object,false,9,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shuttle\",The shuttle object is used to define a grouping of products. Once products have been placed in the shuttle then they can be moved all at once. Also the shuttle has a base location defined by the shuttle axis.
interface_874,Shuttles,The interface to access a CATIAShuttlesUsing this prefered syntax will enable mkdoc to document your class.,Collection,true,0,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \Shuttles\",Unknown
interface_875,Silhouette,Interface to access a CATIASilhouette.,Object,false,0,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Silhouette\",Unknown
interface_876,Silhouettes,Interface to compute Silhouettes.,Collection,true,0,5,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \Silhouettes\",Unknown
