id,name,description,parameter_type,parameter_order
parameter_371,iSection,,,1
parameter_372,iAnchorName,,,2
parameter_373,iReference,,,3
parameter_374,iAngle,,,4
parameter_375,iSupport,,,5
parameter_376,iDefExtr1,,,6
parameter_377,iDefExtr2,,,7
parameter_378,iType,,,8
parameter_379,iCstType,,,1
parameter_380,iElem,,,2
parameter_381,iFeedrateType,,,1
parameter_382,iFeedrateValue,,,2
parameter_383,profile,,,1
parameter_384,iElement1,,,1
parameter_385,iElement2,,,2
parameter_386,iDirection,,,3
parameter_387,iRadius,,,4
parameter_388,iOrientation1,,,5
parameter_389,iOrientation2,,,6
parameter_390,iTrim,,,7
parameter_392,iCurve,,,1
parameter_393,iDirection,,,2
parameter_394,iOffsetValue,,,3
parameter_395,iCornerRadius,,,4
parameter_396,iCornerTension,,,5
parameter_397,iBodyToAdd,,,1
parameter_398,iElement,,,1
parameter_399,iXRatio,,,2
parameter_400,iYRatio,,,3
parameter_401,iZRatio,,,4
parameter_403,XRatio,,,1
parameter_404,YRatio,,,2
parameter_405,ZRatio,,,3
parameter_406,iBodyToAssemble,,,1
parameter_407,iDraftAngle,,,1
parameter_408,iFilletRadius,,,1
parameter_409,iRoundRadius,,,2
parameter_410,iElement,,,1
parameter_412,iObject,,,1
parameter_413,iReferenceAxis,,,2
parameter_414,iTargetAxis,,,3
parameter_416,iReference,,,1
parameter_417,iTarget,,,2
parameter_419,iInitialElement,,,1
parameter_420,iSupport,,,2
parameter_421,iTypedePropagation,,,3
parameter_423,iSurface,,,1
parameter_425,iObjectToChamfer,,,1
parameter_426,iPropagation,,,2
parameter_427,iMode,,,3
parameter_428,length,,,4
parameter_429,iOrientation,,,5
parameter_430,iLength1,,,6
parameter_431,iLength2OrAngle,,,7
parameter_432,iShapeToCopy,,,1
parameter_433,iNbOfInstancesInRadialDir,,,2
parameter_434,iNbOfInstancesInAngularDir,,,3
parameter_435,iStepInRadialDir,,,4
parameter_436,iStepInAngularDir,,,5
parameter_437,iShapeToCopyPositionAlongRadialDir,,,6
parameter_438,iShapeToCopyPositionAlongAngularDir,,,7
parameter_439,iRotationCenter,,,8
parameter_440,iRotationAxis,,,9
parameter_441,iIsReversedRotationAxis,,,10
parameter_442,iRotationAngle,,,11
parameter_443,iIsRadiusAligned,,,12
parameter_444,iShapeToCopy,,,1
parameter_445,iNbOfInstancesInRadialDir,,,2
parameter_446,iNbOfInstancesInAngularDir,,,3
parameter_447,iStepInRadialDir,,,4
parameter_448,iStepInAngularDir,,,5
parameter_449,iShapeToCopyPositionAlongRadialDir,,,6
parameter_450,iShapeToCopyPositionAlongAngularDir,,,7
parameter_451,iRotationCenter,,,8
parameter_452,iRotationAxis,,,9
parameter_453,iIsReversedRotationAxis,,,10
parameter_454,iRotationAngle,,,11
parameter_455,iIsRadiusAligned,,,12
parameter_456,iPoint1,,,1
parameter_457,iPoint2,,,2
parameter_458,iSupport,,,3
parameter_459,iGeodesic,,,4
parameter_460,iRadius,,,5
parameter_461,iOri,,,6
parameter_463,iPoint1,,,1
parameter_464,iPoint2,,,2
parameter_465,iPoint3,,,3
parameter_467,iCurve1,,,1
parameter_468,iCurve2,,,2
parameter_469,iPoint,,,3
parameter_470,iSupport,,,4
parameter_471,iOri1,,,5
parameter_472,iOri2,,,6
parameter_474,iCurve1,,,1
parameter_475,iCurve2,,,2
parameter_476,iSupport,,,3
parameter_477,iRadius,,,4
parameter_478,iOri1,,,5
parameter_479,iOri2,,,6
parameter_481,iAxis,,,1
parameter_482,iPoint,,,2
parameter_483,iValue,,,3
parameter_484,iProjection,,,4
parameter_486,iAxis,,,1
parameter_487,iPoint,,,2
parameter_488,iValue,,,3
parameter_489,iProjection,,,4
parameter_490,iStartAngle,,,5
parameter_491,iEndAngle,,,6
parameter_493,iCenterElem,,,1
parameter_494,iTangentCurve,,,2
parameter_495,iSupport,,,3
parameter_496,iRadius,,,4
parameter_498,iCenter,,,1
parameter_499,iCrossingPoint,,,2
parameter_500,iSupport,,,3
parameter_501,iGeodesic,,,4
parameter_503,CreatedCircle,,,6
parameter_504,iCenter,,,1
parameter_505,iCrossingPoint,,,2
parameter_506,iSupport,,,3
parameter_507,iGeodesic,,,4
parameter_508,iStartAngle,,,5
parameter_509,iEndAngle,,,6
parameter_511,iCenter,,,1
parameter_512,iSupport,,,2
parameter_513,iGeodesic,,,3
parameter_514,iRadius,,,4
parameter_516,iCenter,,,1
parameter_517,iSupport,,,2
parameter_518,iGeodesic,,,3
parameter_519,iRadius,,,4
parameter_520,iStartAngle,,,5
parameter_521,iEndAngle,,,6
parameter_523,iObject,,,1
parameter_525,iCurve1,,,1
parameter_526,iCurve2,,,2
parameter_527,iCurve3,,,3
parameter_528,iSupport,,,4
parameter_529,iOri1,,,5
parameter_530,iOri2,,,6
parameter_531,iOri3,,,7
parameter_533,iCloseElement,,,1
parameter_534,iFirstCurve,,,1
parameter_535,iSecondCurve,,,2
parameter_536,iNearestSolution,,,3
parameter_538,iProductDocument,,,1
parameter_539,iSupport,,,1
parameter_540,iStartingPoint,,,2
parameter_541,iEndPoint,,,3
parameter_543,iSupport,,,1
parameter_544,iOrigin,,,2
parameter_545,iAngle,,,3
parameter_546,iOrientationSupport,,,4
parameter_547,iType,,,5
parameter_549,iCurve1,,,1
parameter_550,iPoint1,,,2
parameter_551,iOrient1,,,3
parameter_552,iContinuity1,,,4
parameter_553,iTension1,,,5
parameter_554,iCurve2,,,6
parameter_555,iPoint2,,,7
parameter_556,iOrient2,,,8
parameter_557,iContinuity2,,,9
parameter_558,iTension2,,,10
parameter_559,iTrim,,,11
parameter_561,iElement1,,,1
parameter_562,iElement2,,,2
parameter_563,iSupport,,,3
parameter_564,iRadius,,,4
parameter_565,iOrientation1,,,5
parameter_566,iOrientation2,,,6
parameter_567,iTrim,,,7
parameter_569,iObject,,,1
parameter_571,iCurve,,,1
parameter_572,iSupport,,,2
parameter_573,iDistance,,,3
parameter_574,iInvertDirection,,,4
parameter_576,iGeodesic,,,6
parameter_578,iCurve,,,1
parameter_580,iCenter,,,1
parameter_581,iRadius,,,2
parameter_582,iFirstLength,,,3
parameter_583,iSecondLength,,,4
parameter_584,iDirection,,,5
parameter_586,iElem,,,1
parameter_588,Next,,,3
parameter_589,iMode,,,1
parameter_590,iToDevelop,,,2
parameter_591,iSupport,,,3
parameter_593,iElement,,,1
parameter_595,iX,,,1
parameter_596,iY,,,2
parameter_597,iZ,,,3
parameter_599,iFaceToDraft,,,1
parameter_600,iNeutral,,,2
parameter_601,iNeutralMode,,,3
parameter_602,iParting,,,4
parameter_603,iMode,,,5
parameter_604,iAngle,,,6
parameter_605,iElement,,,1
parameter_607,iElement,,,1
parameter_609,iBoundary,,,1
